# Time (UTC) | Elevation (degrees)
2021-09-08T01:50:05 | 56.46
2021-09-08T01:51:05 | 56.67
2021-09-08T01:52:05 | 56.89
2021-09-08T01:53:05 | 57.10
2021-09-08T01:54:05 | 57.31
2021-09-08T01:55:05 | 57.52
2021-09-08T01:56:05 | 57.73
2021-09-08T01:57:05 | 57.95
2021-09-08T01:58:05 | 58.16
2021-09-08T01:59:05 | 58.37
2021-09-08T02:00:05 | 58.57
2021-09-08T02:01:05 | 58.78
2021-09-08T02:02:05 | 58.99
2021-09-08T02:03:05 | 59.20
2021-09-08T02:04:05 | 59.41
2021-09-08T02:05:05 | 59.61
2021-09-08T02:06:05 | 59.82
2021-09-08T02:07:05 | 60.02
2021-09-08T02:08:05 | 60.23
