# Time (UTC) | Elevation (degrees)
2021-09-21T03:30:05 | 55.21
2021-09-21T03:31:05 | 55.10
2021-09-21T03:32:05 | 54.98
2021-09-21T03:33:05 | 54.86
2021-09-21T03:34:05 | 54.74
2021-09-21T03:35:05 | 54.62
2021-09-21T03:36:05 | 54.50
2021-09-21T03:37:05 | 54.38
2021-09-21T03:38:05 | 54.25
2021-09-21T03:39:05 | 54.13
2021-09-21T03:40:05 | 54.00
2021-09-21T03:41:05 | 53.88
2021-09-21T03:42:05 | 53.75
2021-09-21T03:43:05 | 53.62
2021-09-21T03:44:05 | 53.49
2021-09-21T03:45:05 | 53.36
2021-09-21T03:46:05 | 53.23
2021-09-21T03:47:05 | 53.09
2021-09-21T03:48:05 | 52.96
2021-09-21T03:49:05 | 52.82
2021-09-21T03:50:05 | 52.69
2021-09-21T03:51:05 | 52.55
2021-09-21T03:52:05 | 52.41
2021-09-21T03:53:05 | 52.27
2021-09-21T03:54:05 | 52.13
2021-09-21T03:55:05 | 51.99
2021-09-21T03:56:05 | 51.85
2021-09-21T03:57:05 | 51.70
2021-09-21T03:58:05 | 51.56
2021-09-21T03:59:05 | 51.41
2021-09-21T04:00:05 | 51.27
2021-09-21T04:01:05 | 51.12
2021-09-21T04:02:05 | 50.97
2021-09-21T04:03:05 | 50.82
2021-09-21T04:04:05 | 50.68
2021-09-21T04:05:05 | 50.53
2021-09-21T04:06:05 | 50.37
2021-09-21T04:07:05 | 50.22
2021-09-21T04:08:05 | 50.07
2021-09-21T04:09:05 | 49.92
2021-09-21T04:10:05 | 49.76
2021-09-21T04:11:05 | 49.61
2021-09-21T04:12:05 | 49.45
2021-09-21T04:13:05 | 49.29
2021-09-21T04:14:05 | 49.14
2021-09-21T04:15:05 | 48.98
2021-09-21T04:16:05 | 48.82
2021-09-21T04:17:05 | 48.66
2021-09-21T04:18:05 | 48.50
2021-09-21T04:19:05 | 48.34
2021-09-21T04:20:05 | 48.18
2021-09-21T04:21:05 | 48.02
2021-09-21T04:22:05 | 47.85
2021-09-21T04:23:05 | 47.69
2021-09-21T04:24:05 | 47.52
2021-09-21T04:25:05 | 47.36
2021-09-21T04:26:05 | 47.19
2021-09-21T04:27:05 | 47.03
2021-09-21T04:28:05 | 46.86
2021-09-21T04:29:05 | 46.69
2021-09-21T04:30:05 | 46.52
2021-09-21T04:31:05 | 46.35
2021-09-21T04:32:05 | 46.18
2021-09-21T04:33:05 | 46.01
2021-09-21T04:34:05 | 45.84
2021-09-21T04:35:05 | 45.67
2021-09-21T04:36:05 | 45.50
2021-09-21T04:37:05 | 45.33
2021-09-21T04:38:05 | 45.16
2021-09-21T04:39:05 | 44.98
2021-09-21T04:40:05 | 44.81
2021-09-21T04:41:05 | 44.63
2021-09-21T04:42:05 | 44.46
2021-09-21T04:43:05 | 44.28
2021-09-21T04:44:05 | 44.11
2021-09-21T04:45:05 | 43.93
2021-09-21T04:46:05 | 43.75
2021-09-21T04:47:05 | 43.57
2021-09-21T04:48:05 | 43.40
2021-09-21T04:49:05 | 43.22
2021-09-21T04:50:05 | 43.04
2021-09-21T04:51:05 | 42.86
2021-09-21T04:52:05 | 42.68
2021-09-21T04:53:05 | 42.50
2021-09-21T04:54:05 | 42.31
2021-09-21T04:55:05 | 42.13
2021-09-21T04:56:05 | 41.95
2021-09-21T04:57:05 | 41.77
2021-09-21T04:58:05 | 41.59
2021-09-21T04:59:05 | 41.40
2021-09-21T05:00:05 | 41.22
2021-09-21T05:01:05 | 41.03
2021-09-21T05:02:05 | 40.85
2021-09-21T05:03:05 | 40.66
2021-09-21T05:04:05 | 40.48
2021-09-21T05:05:05 | 40.29
2021-09-21T05:06:05 | 40.11
2021-09-21T05:07:05 | 39.92
2021-09-21T05:08:05 | 39.73
2021-09-21T05:09:05 | 39.54
2021-09-21T05:10:05 | 39.36
2021-09-21T05:11:05 | 39.17
2021-09-21T05:12:05 | 38.98
2021-09-21T05:13:05 | 38.79
2021-09-21T05:14:05 | 38.60
2021-09-21T05:15:05 | 38.41
2021-09-21T05:16:05 | 38.22
2021-09-21T05:17:05 | 38.03
2021-09-21T05:18:05 | 37.84
2021-09-21T05:19:05 | 37.65
2021-09-21T05:20:05 | 37.46
2021-09-21T05:21:05 | 37.26
2021-09-21T05:22:05 | 37.07
2021-09-21T05:23:05 | 36.88
2021-09-21T05:24:05 | 36.69
2021-09-21T05:25:05 | 36.49
2021-09-21T05:26:05 | 36.30
2021-09-21T05:27:05 | 36.11
2021-09-21T05:28:05 | 35.91
2021-09-21T05:29:05 | 35.72
2021-09-21T05:30:05 | 35.52
2021-09-21T05:31:05 | 35.33
2021-09-21T05:32:05 | 35.13
2021-09-21T05:33:05 | 34.94
2021-09-21T05:34:05 | 34.74
2021-09-21T05:35:05 | 34.55
2021-09-21T05:36:05 | 34.35
2021-09-21T05:37:05 | 34.15
2021-09-21T05:38:05 | 33.96
2021-09-21T05:39:05 | 33.76
2021-09-21T05:40:05 | 33.56
2021-09-21T05:41:05 | 33.36
2021-09-21T05:42:05 | 33.16
2021-09-21T05:43:05 | 32.97
2021-09-21T05:44:05 | 32.77
2021-09-21T05:45:05 | 32.57
2021-09-21T05:46:05 | 32.37
2021-09-21T05:47:05 | 32.17
2021-09-21T05:48:05 | 31.97
2021-09-21T05:49:05 | 31.77
2021-09-21T05:50:05 | 31.57
2021-09-21T05:51:05 | 31.37
2021-09-21T05:52:05 | 31.17
2021-09-21T05:53:05 | 30.97
2021-09-21T05:54:05 | 30.77
2021-09-21T05:55:05 | 30.57
2021-09-21T05:56:05 | 30.37
2021-09-21T05:57:05 | 30.16
2021-09-21T05:58:05 | 29.96
2021-09-21T05:59:05 | 29.76
2021-09-21T06:00:05 | 29.56
2021-09-21T06:01:05 | 29.36
2021-09-21T06:02:05 | 29.15
2021-09-21T06:03:05 | 28.95
2021-09-21T06:04:05 | 28.75
2021-09-21T06:05:05 | 28.54
2021-09-21T06:06:05 | 28.34
2021-09-21T06:07:05 | 28.14
2021-09-21T06:08:05 | 27.93
2021-09-21T06:09:05 | 27.73
2021-09-21T06:10:05 | 27.53
2021-09-21T06:11:05 | 27.32
2021-09-21T06:12:05 | 27.12
2021-09-21T06:13:05 | 26.91
2021-09-21T06:14:05 | 26.71
2021-09-21T06:15:05 | 26.50
2021-09-21T06:16:05 | 26.30
2021-09-21T06:17:05 | 26.09
2021-09-21T06:18:05 | 25.89
2021-09-21T06:19:05 | 25.68
2021-09-21T06:20:05 | 25.47
2021-09-21T06:21:05 | 25.27
2021-09-21T06:22:05 | 25.06
2021-09-21T06:23:05 | 24.86
2021-09-21T06:24:05 | 24.65
2021-09-21T06:25:05 | 24.44
2021-09-21T06:26:05 | 24.24
2021-09-21T06:27:05 | 24.03
2021-09-21T06:28:05 | 23.82
