# Time (UTC) | Elevation (degrees)
2021-09-06T00:40:07 | 20.60
2021-09-06T00:41:07 | 20.81
2021-09-06T00:42:07 | 21.02
2021-09-06T00:43:07 | 21.23
2021-09-06T00:44:07 | 21.44
2021-09-06T00:45:07 | 21.65
2021-09-06T00:46:07 | 21.86
2021-09-06T00:47:07 | 22.07
2021-09-06T00:48:07 | 22.28
2021-09-06T00:49:07 | 22.49
2021-09-06T00:50:07 | 22.70
2021-09-06T00:51:07 | 22.91
2021-09-06T00:52:07 | 23.12
2021-09-06T00:53:07 | 23.33
2021-09-06T00:54:07 | 23.53
2021-09-06T00:55:07 | 23.74
2021-09-06T00:56:07 | 23.95
2021-09-06T00:57:07 | 24.16
2021-09-06T00:58:07 | 24.36
2021-09-06T00:59:07 | 24.57
2021-09-06T01:00:07 | 24.78
2021-09-06T01:01:07 | 24.99
2021-09-06T01:02:07 | 25.19
2021-09-06T01:03:07 | 25.40
2021-09-06T01:04:07 | 25.61
2021-09-06T01:05:07 | 25.81
2021-09-06T01:06:07 | 26.02
2021-09-06T01:07:07 | 26.22
2021-09-06T01:08:07 | 26.43
2021-09-06T01:09:07 | 26.63
2021-09-06T01:10:07 | 26.84
2021-09-06T01:11:07 | 27.05
2021-09-06T01:12:07 | 27.25
2021-09-06T01:13:07 | 27.45
2021-09-06T01:14:07 | 27.66
2021-09-06T01:15:07 | 27.86
2021-09-06T01:16:07 | 28.07
2021-09-06T01:17:07 | 28.27
2021-09-06T01:18:07 | 28.47
2021-09-06T01:19:07 | 28.68
2021-09-06T01:20:07 | 28.88
2021-09-06T01:21:07 | 29.08
2021-09-06T01:22:07 | 29.28
2021-09-06T01:23:07 | 29.49
2021-09-06T01:24:07 | 29.69
2021-09-06T01:25:07 | 29.89
2021-09-06T01:26:07 | 30.09
2021-09-06T01:27:07 | 30.29
2021-09-06T01:28:07 | 30.49
2021-09-06T01:29:07 | 30.69
2021-09-06T01:30:07 | 30.89
2021-09-06T01:31:07 | 31.09
2021-09-06T01:32:07 | 31.29
2021-09-06T01:33:07 | 31.49
2021-09-06T01:34:07 | 31.69
2021-09-06T01:35:07 | 31.89
2021-09-06T01:36:07 | 32.09
2021-09-06T01:37:07 | 32.29
2021-09-06T01:38:07 | 32.49
2021-09-06T01:39:07 | 32.69
2021-09-06T01:40:07 | 32.88
2021-09-06T01:41:07 | 33.08
2021-09-06T01:42:07 | 33.28
2021-09-06T01:43:07 | 33.47
2021-09-06T01:44:07 | 33.67
2021-09-06T01:45:07 | 33.87
2021-09-06T01:46:07 | 34.06
2021-09-06T01:47:07 | 34.26
2021-09-06T01:48:07 | 34.45
2021-09-06T01:49:07 | 34.65
2021-09-06T01:50:07 | 34.84
2021-09-06T01:51:07 | 35.04
2021-09-06T01:52:07 | 35.23
2021-09-06T01:53:07 | 35.42
2021-09-06T01:54:07 | 35.62
2021-09-06T01:55:07 | 35.81
2021-09-06T01:56:07 | 36.00
2021-09-06T01:57:07 | 36.19
2021-09-06T01:58:07 | 36.38
2021-09-06T01:59:07 | 36.57
2021-09-06T02:00:07 | 36.77
2021-09-06T02:01:07 | 36.96
2021-09-06T02:02:07 | 37.15
2021-09-06T02:03:07 | 37.34
2021-09-06T02:04:07 | 37.52
2021-09-06T02:05:07 | 37.71
2021-09-06T02:06:07 | 37.90
2021-09-06T02:07:07 | 38.09
2021-09-06T02:08:07 | 38.28
2021-09-06T02:09:07 | 38.47
2021-09-06T02:10:07 | 38.65
2021-09-06T02:11:07 | 38.84
2021-09-06T02:12:07 | 39.02
2021-09-06T02:13:07 | 39.21
2021-09-06T02:14:07 | 39.39
2021-09-06T02:15:07 | 39.58
2021-09-06T02:16:07 | 39.76
2021-09-06T02:17:07 | 39.95
2021-09-06T02:18:07 | 40.13
