UTC Time, Parameter, Value
2021-09-21 03:30:05, SNR, 513.26766534682
2021-09-21 03:30:55, SNR, 399.20869605676927
2021-09-21 03:31:05, SNR, 373.54876161273336
2021-09-21 03:31:35, SNR, 407.3164656047495
2021-09-21 03:31:45, SNR, 460.7462602863072
2021-09-21 03:32:05, SNR, 448.7661266364759
2021-09-21 03:32:15, SNR, 399.83444794250073
2021-09-21 03:32:35, SNR, 440.26137698092697
2021-09-21 03:32:45, SNR, 508.72838820923874
2021-09-21 03:33:05, SNR, 422.07261453734384
2021-09-21 03:33:35, SNR, 356.53208088434496
2021-09-21 03:33:55, SNR, 467.2706214502222
2021-09-21 03:34:15, SNR, 444.13077568458874
2021-09-21 03:34:25, SNR, 378.9015453950496
2021-09-21 03:34:45, SNR, 509.7352346947674
2021-09-21 03:34:55, SNR, 432.3582458739066
2021-09-21 03:35:15, SNR, 407.21083564653185
2021-09-21 03:35:25, SNR, 442.0557664508327
2021-09-21 03:35:35, SNR, 415.32345647128017
2021-09-21 03:35:45, SNR, 409.88706088305497
2021-09-21 03:35:55, SNR, 427.1268018692376
2021-09-21 03:36:05, SNR, 469.28121605192575
2021-09-21 03:36:15, SNR, 440.80393294571127
2021-09-21 03:36:35, SNR, 443.0386749431151
2021-09-21 03:36:45, SNR, 461.96377304094045
2021-09-21 03:36:55, SNR, 537.8049634725737
2021-09-21 03:37:05, SNR, 449.6763438655117
2021-09-21 03:38:05, SNR, 381.54464192377486
2021-09-21 03:38:15, SNR, 428.2204182330776
2021-09-21 03:38:35, SNR, 440.5527870214792
2021-09-21 03:38:55, SNR, 534.6770100117218
2021-09-21 03:39:05, SNR, 351.1391635782886
2021-09-21 03:39:15, SNR, 442.08814888210946
2021-09-21 03:39:25, SNR, 380.2493430676612
2021-09-21 03:39:35, SNR, 393.1194354799738
2021-09-21 03:39:45, SNR, 510.0458482616917
2021-09-21 03:39:55, SNR, 365.3965294522853
2021-09-21 03:40:25, SNR, 390.20670838961945
2021-09-21 03:40:45, SNR, 474.18390196034807
2021-09-21 03:40:55, SNR, 519.4262979197961
2021-09-21 03:41:15, SNR, 468.83214098977976
2021-09-21 03:41:35, SNR, 457.72154831425365
2021-09-21 03:41:45, SNR, 446.65744349859693
2021-09-21 03:41:55, SNR, 410.12274338968314
2021-09-21 03:42:05, SNR, 400.24261969490817
2021-09-21 03:42:35, SNR, 432.20862494028165
2021-09-21 03:42:45, SNR, 434.91096665028965
2021-09-21 03:42:55, SNR, 521.2641656205626
2021-09-21 03:43:05, SNR, 378.56243828632506
2021-09-21 03:43:15, SNR, 448.5679465093917
2021-09-21 03:43:25, SNR, 422.8620350908386
2021-09-21 03:43:35, SNR, 394.6826557695172
2021-09-21 03:43:55, SNR, 468.29501623516853
2021-09-21 03:44:05, SNR, 377.1005323260232
2021-09-21 03:44:25, SNR, 514.2157492380634
2021-09-21 03:44:55, SNR, 383.0407766953025
2021-09-21 03:45:05, SNR, 524.2829671651474
2021-09-21 03:45:15, SNR, 413.6508937226724
2021-09-21 03:45:25, SNR, 432.1971741807404
2021-09-21 03:45:35, SNR, 480.7264442437712
2021-09-21 03:45:45, SNR, 389.4529282402626
2021-09-21 03:45:55, SNR, 411.4558669298854
2021-09-21 03:46:05, SNR, 453.65535369239
2021-09-21 03:46:15, SNR, 349.53605015652823
2021-09-21 03:47:25, SNR, 440.52220890783514
2021-09-21 03:47:35, SNR, 491.58885705327987
2021-09-21 03:47:55, SNR, 448.57273602256504
2021-09-21 03:48:05, SNR, 408.89318398845546
2021-09-21 03:48:15, SNR, 457.7151068543682
2021-09-21 03:50:05, SNR, 433.83051178770296
2021-09-21 03:50:15, SNR, 414.3619370265401
2021-09-21 03:50:25, SNR, 377.1609664153213
2021-09-21 03:50:35, SNR, 366.76276722393067
2021-09-21 03:50:45, SNR, 505.0599047233392
2021-09-21 03:50:55, SNR, 408.7805355772604
2021-09-21 03:51:05, SNR, 353.03973340393344
2021-09-21 03:51:45, SNR, 504.384391718566
2021-09-21 03:51:55, SNR, 418.5585255644887
2021-09-21 03:52:05, SNR, 396.05662297407446
2021-09-21 03:52:15, SNR, 530.4844519720203
2021-09-21 03:52:25, SNR, 461.660493834504
2021-09-21 03:52:45, SNR, 372.569441201464
2021-09-21 03:52:55, SNR, 459.70838280794254
2021-09-21 03:53:15, SNR, 491.8431155162016
2021-09-21 03:53:25, SNR, 388.53244217830735
2021-09-21 03:53:35, SNR, 520.3749267482301
2021-09-21 03:53:55, SNR, 444.227502531469
2021-09-21 03:54:05, SNR, 450.3723530333884
2021-09-21 03:54:15, SNR, 518.5516720752544
2021-09-21 03:54:25, SNR, 474.91331076687857
2021-09-21 03:54:35, SNR, 431.23538503618886
2021-09-21 03:54:45, SNR, 396.69973690301407
2021-09-21 03:55:05, SNR, 349.98304026357
2021-09-21 03:55:15, SNR, 530.6512353954924
2021-09-21 03:55:25, SNR, 449.03041066913966
2021-09-21 03:55:35, SNR, 505.53100370804896
2021-09-21 03:55:55, SNR, 404.11306071318336
2021-09-21 03:56:15, SNR, 486.72920640736766
2021-09-21 03:56:25, SNR, 356.53178478239266
2021-09-21 03:56:45, SNR, 500.70437071292145
2021-09-21 03:57:05, SNR, 409.90705094136325
2021-09-21 03:57:35, SNR, 418.06822915556216
2021-09-21 03:57:45, SNR, 512.873072983819
2021-09-21 03:57:55, SNR, 417.5261830403255
2021-09-21 03:58:05, SNR, 528.7515945075219
2021-09-21 03:58:15, SNR, 527.7465377973455
2021-09-21 03:58:45, SNR, 518.4270951650149
2021-09-21 03:58:55, SNR, 353.57210070856365
2021-09-21 03:59:05, SNR, 462.8204715146847
2021-09-21 03:59:25, SNR, 374.90953296058456
2021-09-21 03:59:35, SNR, 489.77196370574586
2021-09-21 03:59:45, SNR, 431.37075009595526
2021-09-21 03:59:55, SNR, 533.3857033673927
2021-09-21 04:00:25, SNR, 438.3695669216496
2021-09-21 04:00:45, SNR, 423.1771588505816
2021-09-21 04:00:55, SNR, 517.098830438168
2021-09-21 04:01:15, SNR, 448.48694570276257
2021-09-21 04:01:25, SNR, 499.5148020621472
2021-09-21 04:01:55, SNR, 386.6087482412561
2021-09-21 04:02:05, SNR, 376.9573060558061
2021-09-21 04:02:25, SNR, 394.6922917472288
2021-09-21 04:02:45, SNR, 430.5722879823118
2021-09-21 04:02:55, SNR, 488.4521484883528
2021-09-21 04:03:05, SNR, 537.212826564688
2021-09-21 04:03:15, SNR, 396.6778016218552
2021-09-21 04:03:25, SNR, 376.03507427308887
2021-09-21 04:03:45, SNR, 430.30182904930393
2021-09-21 04:03:55, SNR, 387.1750141665559
2021-09-21 04:04:05, SNR, 380.71844591983006
2021-09-21 04:04:25, SNR, 422.4844721223688
2021-09-21 04:04:55, SNR, 353.85743503449714
2021-09-21 04:05:05, SNR, 400.238755350859
2021-09-21 04:05:15, SNR, 514.7343152849918
2021-09-21 04:05:25, SNR, 388.83833858138246
2021-09-21 04:06:05, SNR, 379.0827610852392
2021-09-21 04:06:25, SNR, 429.89871830904065
2021-09-21 04:06:35, SNR, 447.1793848494147
2021-09-21 04:07:05, SNR, 468.0977329399863
2021-09-21 04:07:25, SNR, 461.6161201934127
2021-09-21 04:07:45, SNR, 446.1600900506149
2021-09-21 04:07:55, SNR, 521.7314978104389
2021-09-21 04:08:05, SNR, 374.51887832093814
2021-09-21 04:10:05, SNR, 364.01042671694864
2021-09-21 04:10:15, SNR, 472.5128858012424
2021-09-21 04:10:25, SNR, 510.3399283201076
2021-09-21 04:10:35, SNR, 495.02805136250635
2021-09-21 04:10:45, SNR, 371.63002041278594
2021-09-21 04:10:55, SNR, 443.201861266642
2021-09-21 04:11:05, SNR, 360.989435264813
2021-09-21 04:11:25, SNR, 382.7021662512655
2021-09-21 04:11:55, SNR, 502.8570750819789
2021-09-21 04:12:05, SNR, 503.14641075638735
2021-09-21 04:12:25, SNR, 345.48653935821005
2021-09-21 04:12:35, SNR, 370.43489076142447
2021-09-21 04:12:45, SNR, 405.90723753571206
2021-09-21 04:12:55, SNR, 453.73553851926624
2021-09-21 04:13:05, SNR, 349.6099775988719
2021-09-21 04:13:15, SNR, 486.0226630710069
2021-09-21 04:13:25, SNR, 455.63993080139034
2021-09-21 04:13:35, SNR, 462.212432352933
2021-09-21 04:13:45, SNR, 490.31004368024793
2021-09-21 04:13:55, SNR, 377.09119645764406
2021-09-21 04:14:05, SNR, 406.96824388058064
2021-09-21 04:14:15, SNR, 447.64460637249
2021-09-21 04:14:25, SNR, 532.2969362023413
2021-09-21 04:14:35, SNR, 438.4562534497615
2021-09-21 04:14:45, SNR, 432.20722333023207
2021-09-21 04:14:55, SNR, 441.2361799350137
2021-09-21 04:15:35, SNR, 501.8439564397488
2021-09-21 04:15:55, SNR, 428.2133337639156
2021-09-21 04:16:15, SNR, 493.93526153305254
2021-09-21 04:16:25, SNR, 458.61078696298335
2021-09-21 04:16:35, SNR, 429.10960684011854
2021-09-21 04:17:05, SNR, 458.6930551369375
2021-09-21 04:17:25, SNR, 496.61280131534846
2021-09-21 04:17:35, SNR, 456.9929239169379
2021-09-21 04:17:45, SNR, 489.12933091053645
2021-09-21 04:17:55, SNR, 477.6367504801841
2021-09-21 04:18:05, SNR, 449.791590444879
