UTC Time, Parameter, Value
2021-09-08 03:10:05, SNR, 16676.88954397346
2021-09-08 03:10:25, SNR, 15694.12256193215
2021-09-08 03:10:35, SNR, 15066.32552094848
2021-09-08 03:10:45, SNR, 14652.411838442116
2021-09-08 03:10:55, SNR, 16354.31294136702
2021-09-08 03:11:15, SNR, 15102.540078354305
2021-09-08 03:11:25, SNR, 15929.451406215863
2021-09-08 03:11:35, SNR, 16549.20844007942
2021-09-08 03:11:45, SNR, 15804.594823460127
2021-09-08 03:11:55, SNR, 15322.432526518043
2021-09-08 03:12:05, SNR, 16101.658873783716
2021-09-08 03:12:15, SNR, 15394.73222915974
2021-09-08 03:12:25, SNR, 16369.272083878304
2021-09-08 03:13:05, SNR, 15502.34644589786
2021-09-08 03:13:15, SNR, 14750.010293086116
2021-09-08 03:13:25, SNR, 14306.137640833393
2021-09-08 03:13:35, SNR, 16447.12226319329
2021-09-08 03:14:05, SNR, 14926.440033778232
2021-09-08 03:14:15, SNR, 15354.261406570577
2021-09-08 03:14:25, SNR, 16189.52353638962
2021-09-08 03:14:35, SNR, 14923.042827223044
2021-09-08 03:14:45, SNR, 15666.900869332776
2021-09-08 03:15:05, SNR, 14386.012710337513
2021-09-08 03:15:15, SNR, 17121.31820777667
2021-09-08 03:15:25, SNR, 14959.957655154116
2021-09-08 03:15:35, SNR, 15057.444211858987
2021-09-08 03:15:45, SNR, 16315.782093289496
2021-09-08 03:15:55, SNR, 16836.94746238085
2021-09-08 03:16:15, SNR, 17100.09420746824
2021-09-08 03:17:05, SNR, 15716.281251409968
2021-09-08 03:17:15, SNR, 17809.25329951898
2021-09-08 03:17:35, SNR, 15509.422383451823
2021-09-08 03:17:45, SNR, 15841.176679879123
2021-09-08 03:17:55, SNR, 15279.659776253244
2021-09-08 03:18:05, SNR, 16544.97837845138
2021-09-08 03:18:15, SNR, 15980.814887447452
2021-09-08 03:18:25, SNR, 15213.589601089667
2021-09-08 03:18:35, SNR, 16013.206900606952
2021-09-08 03:18:45, SNR, 16231.05247263927
2021-09-08 03:18:55, SNR, 14893.744201656393
2021-09-08 03:19:05, SNR, 16640.474850955303
2021-09-08 03:19:15, SNR, 16085.451614725045
2021-09-08 03:19:45, SNR, 16392.246911906386
2021-09-08 03:19:55, SNR, 15368.204097377811
2021-09-08 03:20:15, SNR, 15851.402737277094
2021-09-08 03:20:35, SNR, 15350.672349742803
2021-09-08 03:20:45, SNR, 16517.962036418437
2021-09-08 03:20:55, SNR, 15654.21712254442
2021-09-08 03:21:05, SNR, 16065.303314939896
2021-09-08 03:22:05, SNR, 15585.461448927088
2021-09-08 03:22:15, SNR, 16207.1840506226
2021-09-08 03:22:35, SNR, 14748.758216433864
2021-09-08 03:22:55, SNR, 16093.891844779271
2021-09-08 03:23:05, SNR, 17179.48399769034
2021-09-08 03:23:25, SNR, 15546.369789666236
2021-09-08 03:23:35, SNR, 15091.052511293508
2021-09-08 03:23:55, SNR, 16385.329248578855
2021-09-08 03:24:05, SNR, 16396.962163074753
2021-09-08 03:24:15, SNR, 15752.533947267604
2021-09-08 03:24:45, SNR, 14422.68316596047
2021-09-08 03:24:55, SNR, 17198.219139485813
2021-09-08 03:25:05, SNR, 16351.307122473472
2021-09-08 03:25:25, SNR, 16309.698516478851
2021-09-08 03:25:55, SNR, 14647.188481250789
2021-09-08 03:26:05, SNR, 16145.218661796587
2021-09-08 03:26:15, SNR, 15310.948228307141
2021-09-08 03:26:35, SNR, 16540.037425540762
2021-09-08 03:26:45, SNR, 14431.770499192344
2021-09-08 03:26:55, SNR, 14929.255275461672
2021-09-08 03:27:35, SNR, 16423.243036487303
2021-09-08 03:27:55, SNR, 14655.594278434064
2021-09-08 03:28:05, SNR, 14762.654354455382
2021-09-08 03:28:15, SNR, 15425.218328025168
2021-09-08 03:30:05, SNR, 17240.34544531175
2021-09-08 03:30:15, SNR, 17068.663216547862
2021-09-08 03:30:25, SNR, 16351.77799230474
2021-09-08 03:30:35, SNR, 14651.879700816731
2021-09-08 03:30:45, SNR, 15733.972269947137
2021-09-08 03:30:55, SNR, 14789.942784112209
