Tau (s),Modified Allan Deviation,Error,Station
9.999985992908478,3.8365189522541643e-08,2.1514129970705207e-09,O6
19.999971985816956,2.0974461243927358e-08,1.181777010729572e-09,O6
39.99994397163391,1.1504068288121425e-08,6.544435794119542e-10,O6
99.99985992908478,8.412283761217237e-09,4.931368075141226e-10,O6
9.999985992908478,2.1118391323284616e-11,1.1842605793317053e-12,Nt
19.999971985816956,1.0836398924606951e-11,6.105619104711391e-13,Nt
39.99994397163391,6.311025927706491e-12,3.5902172122487754e-13,Nt
99.99985992908478,3.7436132380255686e-12,2.1945449454268142e-13,Nt
9.999985992908478,9.874130089987166e-14,9.682381155499662e-15,Ef
19.999971985816956,4.320221447193945e-14,4.298781009900797e-15,Ef
39.99994397163391,2.5093694673859268e-14,2.5745587509214144e-15,Ef
99.99985992908478,1.3777136172988583e-14,1.570050380236709e-15,Ef
9.999985992908478,2.501400829164488e-13,2.4411172516551454e-14,Mc
19.999971985816956,1.1524401086036648e-13,1.1410857419616905e-14,Mc
39.99994397163391,6.41631019901628e-14,6.548619174585613e-15,Mc
99.99985992908478,1.90913176096549e-14,2.1616660480972543e-15,Mc
9.999985992908478,1.0052562612445935e-13,9.810296586805686e-15,Hh
19.999971985816956,4.3089646679274623e-14,4.266510778721678e-15,Hh
39.99994397163391,2.416205994404525e-14,2.466029916560464e-15,Hh
99.99985992908478,1.345501064277592e-14,1.5234799544986289e-15,Hh
9.999985992908478,1.0486457712037704e-13,1.0090598638150993e-14,Tr
19.999971985816956,6.093344793299953e-14,5.946495628281989e-15,Tr
39.99994397163391,3.7630563323443964e-14,3.782013914956756e-15,Tr
99.99985992908478,2.9579685411503055e-14,3.286631712389228e-15,Tr
9.999985992908478,5.590309991534579e-13,7.752365123160224e-14,Ir
19.999971985816956,2.655300251272549e-13,3.7932860732464985e-14,Ir
39.99994397163391,1.7186709546353177e-13,2.620948634540588e-14,Ir
99.99985992908478,1.2017370144101706e-13,2.4034740288203413e-14,Ir
9.999985992908478,4.457550054935564e-09,4.0523182317596037e-10,Wb
19.999971985816956,4.039338663110974e-09,3.7185126463553095e-10,Wb
39.99994397163391,2.151731342918111e-09,2.0331950077087013e-10,Wb
99.99985992908478,2.9338039020443996e-09,3.025987676925545e-10,Wb
