# Time (UTC) | Elevation (degrees)
2024-03-05T05:43:05 | 13.49
2024-03-05T05:44:05 | 13.48
2024-03-05T05:45:05 | 13.48
2024-03-05T05:46:05 | 13.47
2024-03-05T05:47:05 | 13.45
2024-03-05T05:48:05 | 13.44
2024-03-05T05:49:05 | 13.43
2024-03-05T05:50:05 | 13.42
2024-03-05T05:51:05 | 13.41
2024-03-05T05:52:05 | 13.39
2024-03-05T05:53:05 | 13.38
2024-03-05T05:54:05 | 13.36
2024-03-05T05:55:05 | 13.35
2024-03-05T05:56:05 | 13.33
2024-03-05T05:57:05 | 13.31
2024-03-05T05:58:05 | 13.30
2024-03-05T05:59:05 | 13.28
2024-03-05T06:00:05 | 13.26
2024-03-05T06:01:05 | 13.24
2024-03-05T06:02:05 | 13.22
2024-03-05T06:03:05 | 13.20
2024-03-05T06:04:05 | 13.18
2024-03-05T06:05:05 | 13.16
2024-03-05T06:06:05 | 13.14
2024-03-05T06:07:05 | 13.11
2024-03-05T06:08:05 | 13.09
2024-03-05T06:09:05 | 13.07
2024-03-05T06:10:05 | 13.04
2024-03-05T06:11:05 | 13.02
2024-03-05T06:12:05 | 12.99
2024-03-05T06:13:05 | 12.96
2024-03-05T06:14:05 | 12.94
2024-03-05T06:15:05 | 12.91
2024-03-05T06:16:05 | 12.88
2024-03-05T06:17:05 | 12.85
2024-03-05T06:18:05 | 12.82
2024-03-05T06:19:05 | 12.79
2024-03-05T06:20:05 | 12.76
2024-03-05T06:21:05 | 12.73
2024-03-05T06:22:05 | 12.70
2024-03-05T06:23:05 | 12.67
2024-03-05T06:24:05 | 12.63
2024-03-05T06:25:05 | 12.60
2024-03-05T06:26:05 | 12.56
2024-03-05T06:27:05 | 12.53
2024-03-05T06:28:05 | 12.49
2024-03-05T06:29:05 | 12.46
2024-03-05T06:30:05 | 12.42
2024-03-05T06:31:05 | 12.38
2024-03-05T06:32:05 | 12.35
2024-03-05T06:33:05 | 12.31
2024-03-05T06:34:05 | 12.27
2024-03-05T06:35:05 | 12.23
2024-03-05T06:36:05 | 12.19
2024-03-05T06:37:05 | 12.15
2024-03-05T06:38:05 | 12.11
2024-03-05T06:39:05 | 12.06
2024-03-05T06:40:05 | 12.02
2024-03-05T06:41:05 | 11.98
2024-03-05T06:42:05 | 11.93
2024-03-05T06:43:05 | 11.89
2024-03-05T06:44:05 | 11.85
2024-03-05T06:45:05 | 11.80
2024-03-05T06:46:05 | 11.75
2024-03-05T06:47:05 | 11.71
2024-03-05T06:48:05 | 11.66
2024-03-05T06:49:05 | 11.61
2024-03-05T06:50:05 | 11.56
2024-03-05T06:51:05 | 11.52
2024-03-05T06:52:05 | 11.47
2024-03-05T06:53:05 | 11.42
2024-03-05T06:54:05 | 11.37
2024-03-05T06:55:05 | 11.31
2024-03-05T06:56:05 | 11.26
2024-03-05T06:57:05 | 11.21
2024-03-05T06:58:05 | 11.16
2024-03-05T06:59:05 | 11.10
2024-03-05T07:00:05 | 11.05
2024-03-05T07:01:05 | 11.00
2024-03-05T07:02:05 | 10.94
2024-03-05T07:03:05 | 10.89
2024-03-05T07:04:05 | 10.83
2024-03-05T07:05:05 | 10.77
2024-03-05T07:06:05 | 10.72
2024-03-05T07:07:05 | 10.66
2024-03-05T07:08:05 | 10.60
2024-03-05T07:09:05 | 10.54
2024-03-05T07:10:05 | 10.48
2024-03-05T07:11:05 | 10.42
2024-03-05T07:12:05 | 10.36
2024-03-05T07:13:05 | 10.30
2024-03-05T07:14:05 | 10.24
2024-03-05T07:15:05 | 10.18
2024-03-05T07:16:05 | 10.11
2024-03-05T07:17:05 | 10.05
2024-03-05T07:18:05 | 9.99
2024-03-05T07:19:05 | 9.92
2024-03-05T07:20:05 | 9.86
2024-03-05T07:21:05 | 9.79
2024-03-05T07:22:05 | 9.73
2024-03-05T07:23:05 | 9.66
2024-03-05T07:24:05 | 9.59
2024-03-05T07:25:05 | 9.53
2024-03-05T07:26:05 | 9.46
2024-03-05T07:27:05 | 9.39
2024-03-05T07:28:05 | 9.32
2024-03-05T07:29:05 | 9.25
