UTC Time, Parameter, Value
2024-03-05 05:43:05, SNR, 2680.361766697496
2024-03-05 05:43:15, SNR, 2812.544024730727
2024-03-05 05:43:45, SNR, 2803.333764855675
2024-03-05 05:44:45, SNR, 2575.5171995109076
2024-03-05 05:50:25, SNR, 2707.1924426490427
2024-03-05 05:50:35, SNR, 2533.6380277034687
2024-03-05 05:50:45, SNR, 2431.730534037994
2024-03-05 05:51:35, SNR, 2366.03612748284
2024-03-05 05:51:45, SNR, 2522.1018004327666
2024-03-05 05:57:15, SNR, 2427.6632581941885
2024-03-05 05:57:35, SNR, 2295.712910576335
2024-03-05 05:57:45, SNR, 2452.430285304969
2024-03-05 05:57:55, SNR, 2405.2694873045425
2024-03-05 05:58:05, SNR, 2276.136250013778
2024-03-05 05:58:25, SNR, 2608.8994132333573
2024-03-05 05:58:35, SNR, 2407.9261368572065
2024-03-05 05:58:45, SNR, 2340.479433041794
2024-03-05 06:04:25, SNR, 2369.8819784545726
2024-03-05 06:04:35, SNR, 2597.261028779037
2024-03-05 06:04:45, SNR, 2245.0624402750755
2024-03-05 06:05:05, SNR, 2630.8430041073716
2024-03-05 06:05:25, SNR, 2372.2430781065113
2024-03-05 06:05:35, SNR, 2479.4868733057315
2024-03-05 06:05:45, SNR, 2509.3428173433963
2024-03-05 06:11:15, SNR, 2546.167654231589
2024-03-05 06:11:25, SNR, 2483.08831734562
2024-03-05 06:12:05, SNR, 2527.415349933209
2024-03-05 06:12:15, SNR, 2287.2837897761615
2024-03-05 06:12:35, SNR, 2504.6958913448084
2024-03-05 06:12:45, SNR, 2527.298702833788
2024-03-05 06:18:15, SNR, 2457.9271751526167
2024-03-05 06:18:25, SNR, 2447.5402899172686
2024-03-05 06:18:35, SNR, 2539.031980466164
2024-03-05 06:18:45, SNR, 2637.6367765476452
2024-03-05 06:18:55, SNR, 2313.6147351091818
2024-03-05 06:19:15, SNR, 2349.0040342113975
2024-03-05 06:19:25, SNR, 2601.36304997788
2024-03-05 06:19:35, SNR, 2393.498200581174
2024-03-05 06:19:45, SNR, 2258.7183400958247
2024-03-05 06:25:15, SNR, 2522.7542687519813
2024-03-05 06:25:45, SNR, 2457.882610343869
2024-03-05 06:25:55, SNR, 2161.9793501366553
2024-03-05 06:26:15, SNR, 2496.46328749804
2024-03-05 06:26:35, SNR, 2558.7988678580086
2024-03-05 06:26:45, SNR, 2202.0483734154063
2024-03-05 06:32:15, SNR, 2456.994091626823
2024-03-05 06:32:25, SNR, 2079.5837275018607
2024-03-05 06:32:35, SNR, 2231.226997849631
2024-03-05 06:32:45, SNR, 2295.179565964509
2024-03-05 06:32:55, SNR, 2704.014432417537
2024-03-05 06:33:15, SNR, 2423.801894211041
2024-03-05 06:33:25, SNR, 2248.9171730069284
2024-03-05 06:33:35, SNR, 2320.912926845193
2024-03-05 06:33:45, SNR, 2035.624420545849
2024-03-05 06:39:15, SNR, 2129.49827125973
2024-03-05 06:39:25, SNR, 2654.7950106166513
2024-03-05 06:39:35, SNR, 2225.942407466588
2024-03-05 06:39:45, SNR, 2453.763529154393
2024-03-05 06:39:55, SNR, 2539.270743244356
2024-03-05 06:40:05, SNR, 2418.493045363415
