UTC Time, Parameter, Value
2024-03-05 05:30:05, SNR, 6.416277577016523
2024-03-05 05:30:15, SNR, 6.524431935611134
2024-03-05 05:30:25, SNR, 7.388514139553052
2024-03-05 05:30:45, SNR, 8.630270455673768
2024-03-05 05:30:55, SNR, 6.446153981542194
2024-03-05 05:31:05, SNR, 6.405573590038136
2024-03-05 05:31:45, SNR, 6.365135192189783
2024-03-05 05:35:15, SNR, 6.9718775455010045
2024-03-05 05:35:25, SNR, 7.309667379797531
2024-03-05 05:35:35, SNR, 7.835494722278438
2024-03-05 05:36:05, SNR, 5.971437294145753
2024-03-05 05:36:35, SNR, 6.131231927363586
2024-03-05 05:36:45, SNR, 6.127036067263179
2024-03-05 05:37:05, SNR, 5.944488745717176
2024-03-05 05:37:15, SNR, 7.66081578196769
2024-03-05 05:37:25, SNR, 6.514549435281934
2024-03-05 05:37:45, SNR, 7.12690663471017
2024-03-05 05:39:15, SNR, 5.884518777065218
2024-03-05 05:39:25, SNR, 7.206947004080923
2024-03-05 05:40:15, SNR, 6.614356700011709
2024-03-05 05:40:35, SNR, 6.257810405335384
2024-03-05 05:40:45, SNR, 6.5472205513047195
2024-03-05 05:40:55, SNR, 6.1310066353118415
2024-03-05 05:41:05, SNR, 6.565391079394892
2024-03-05 05:41:15, SNR, 6.76550020070835
2024-03-05 05:41:35, SNR, 7.547671349248576
2024-03-05 05:41:45, SNR, 7.363436383913614
2024-03-05 05:43:15, SNR, 6.0673042798086385
2024-03-05 05:43:25, SNR, 7.153629123488994
2024-03-05 05:43:35, SNR, 7.746412168713015
2024-03-05 05:43:45, SNR, 6.193371125661553
2024-03-05 05:43:55, SNR, 7.659778600520535
2024-03-05 05:44:05, SNR, 5.831964103349887
2024-03-05 05:44:45, SNR, 8.050760001933392
2024-03-05 05:46:35, SNR, 6.205700556889855
2024-03-05 05:46:45, SNR, 7.003657302161809
2024-03-05 05:46:55, SNR, 8.07785247132265
2024-03-05 05:47:05, SNR, 5.788859855728312
2024-03-05 05:47:15, SNR, 8.39572388169644
2024-03-05 05:47:35, SNR, 6.768649425380236
2024-03-05 05:47:45, SNR, 6.759289588453069
2024-03-05 05:48:05, SNR, 6.938932025747712
2024-03-05 05:48:15, SNR, 6.080008862751028
