UTC Time, Parameter, Value
2024-03-05 05:43:05, SNR, 3984.107166434626
2024-03-05 05:43:25, SNR, 4239.70737080632
2024-03-05 05:44:05, SNR, 4120.693559157377
2024-03-05 05:44:25, SNR, 3854.4748486063413
2024-03-05 05:44:35, SNR, 4123.279493184149
2024-03-05 05:50:25, SNR, 3722.883877398027
2024-03-05 05:50:35, SNR, 4110.871484050875
2024-03-05 05:50:45, SNR, 4095.4083463537377
2024-03-05 05:50:55, SNR, 3961.6820659841715
2024-03-05 05:51:05, SNR, 4083.6358919469694
2024-03-05 05:51:15, SNR, 4225.607762565597
2024-03-05 05:51:35, SNR, 4059.8993227254186
2024-03-05 05:51:45, SNR, 3766.1570086754596
2024-03-05 05:57:55, SNR, 3783.805285504808
2024-03-05 05:58:05, SNR, 3788.8071493949233
2024-03-05 05:58:15, SNR, 3934.63066080753
2024-03-05 05:58:35, SNR, 3537.056055916163
2024-03-05 05:58:45, SNR, 3664.756466420803
2024-03-05 06:04:15, SNR, 3347.613327785759
2024-03-05 06:04:25, SNR, 3427.1707174587627
2024-03-05 06:04:35, SNR, 3630.40158606481
2024-03-05 06:04:45, SNR, 3522.2312698496144
2024-03-05 06:05:15, SNR, 3626.424574884718
2024-03-05 06:05:45, SNR, 3293.2768495186397
2024-03-05 06:11:15, SNR, 3602.321756700833
2024-03-05 06:11:35, SNR, 3433.3792132500585
2024-03-05 06:12:15, SNR, 3883.769807886417
2024-03-05 06:12:25, SNR, 3225.775803499597
2024-03-05 06:12:35, SNR, 3940.2796846456768
2024-03-05 06:12:45, SNR, 3669.696504032196
2024-03-05 06:18:15, SNR, 3535.7050250429247
2024-03-05 06:18:25, SNR, 3620.2883716547803
2024-03-05 06:18:35, SNR, 3098.2492089853667
2024-03-05 06:18:45, SNR, 3661.9564752811175
2024-03-05 06:18:55, SNR, 3454.5541861003376
2024-03-05 06:19:05, SNR, 3250.32253854337
2024-03-05 06:19:15, SNR, 3016.315782608433
2024-03-05 06:19:25, SNR, 3599.6942560891093
2024-03-05 06:19:35, SNR, 3209.6332928043994
2024-03-05 06:19:45, SNR, 3918.515630399943
2024-03-05 06:25:15, SNR, 3144.5222334917944
2024-03-05 06:25:35, SNR, 3290.0773311057733
2024-03-05 06:25:45, SNR, 3818.8725046324694
2024-03-05 06:25:55, SNR, 3144.9429779134102
2024-03-05 06:26:05, SNR, 3717.176118080049
2024-03-05 06:26:15, SNR, 3801.6829201278742
2024-03-05 06:26:25, SNR, 3368.4352924870027
2024-03-05 06:26:35, SNR, 3117.5295454585994
2024-03-05 06:26:45, SNR, 3402.3260139848608
2024-03-05 06:32:25, SNR, 3405.5028860187977
2024-03-05 06:32:35, SNR, 3607.4231387020864
2024-03-05 06:32:45, SNR, 3194.0035711759924
2024-03-05 06:33:05, SNR, 2911.7951114475636
2024-03-05 06:33:15, SNR, 2748.826315796378
2024-03-05 06:33:25, SNR, 3479.5951932051494
2024-03-05 06:33:45, SNR, 3461.2363445462233
2024-03-05 06:39:35, SNR, 2932.248427312782
2024-03-05 06:39:55, SNR, 2984.041366987727
2024-03-05 06:40:15, SNR, 3406.278473767781
2024-03-05 06:40:25, SNR, 2790.147280256977
2024-03-05 06:40:35, SNR, 2821.4431388071844
2024-03-05 06:40:45, SNR, 2303.93505035686
2024-03-05 06:48:15, SNR, 2694.089866279553
2024-03-05 06:48:25, SNR, 2844.5720247581435
2024-03-05 06:48:35, SNR, 2669.2150244531763
2024-03-05 06:48:45, SNR, 2867.480646245609
2024-03-05 06:48:55, SNR, 2867.005255014081
2024-03-05 06:49:05, SNR, 2754.111089126656
2024-03-05 06:49:15, SNR, 2825.0164604090946
2024-03-05 06:49:35, SNR, 2940.356502382464
2024-03-05 06:49:45, SNR, 3223.027289573929
2024-03-05 06:55:15, SNR, 2811.540132326787
2024-03-05 06:55:25, SNR, 2621.7967410789115
2024-03-05 06:55:45, SNR, 2315.93762351271
2024-03-05 06:55:55, SNR, 2929.865592246004
2024-03-05 06:56:15, SNR, 3190.2347963411985
2024-03-05 06:56:25, SNR, 2980.1095574104825
2024-03-05 06:56:35, SNR, 2962.338260580643
2024-03-05 07:02:15, SNR, 2376.0397777567678
2024-03-05 07:02:35, SNR, 2730.8814568663406
2024-03-05 07:02:45, SNR, 2741.249260637139
2024-03-05 07:02:55, SNR, 2860.94345697412
2024-03-05 07:03:15, SNR, 2302.200047641364
2024-03-05 07:03:25, SNR, 2862.944253845946
2024-03-05 07:03:35, SNR, 2970.856774059275
2024-03-05 07:03:45, SNR, 2792.666341172701
2024-03-05 07:10:15, SNR, 2733.0412717421145
2024-03-05 07:10:25, SNR, 2596.087734018125
2024-03-05 07:10:45, SNR, 2543.2765246777994
2024-03-05 07:16:15, SNR, 2299.6940792598116
2024-03-05 07:16:35, SNR, 2164.7423586581813
2024-03-05 07:16:45, SNR, 2525.0669346653253
2024-03-05 07:16:55, SNR, 2416.8377359677256
2024-03-05 07:17:05, SNR, 2676.592603085627
2024-03-05 07:17:15, SNR, 2495.3605759426646
2024-03-05 07:17:35, SNR, 2119.5994766584367
2024-03-05 07:17:45, SNR, 2462.8816663540315
2024-03-05 05:43:05, Doppler_noise, 0.00016158341861682857
2024-03-05 05:43:15, Doppler_noise, -0.0001640305810042264
2024-03-05 05:43:25, Doppler_noise, -0.0007678123090499867
2024-03-05 05:44:05, Doppler_noise, -0.0003322943713328641
2024-03-05 05:44:25, Doppler_noise, -0.0007158197890930751
2024-03-05 05:44:35, Doppler_noise, -0.000573866081253982
2024-03-05 05:44:45, Doppler_noise, 0.00023257427631051542
2024-03-05 05:50:15, Doppler_noise, -0.0001454941259453335
2024-03-05 05:50:25, Doppler_noise, -0.00046516143720509717
2024-03-05 05:50:35, Doppler_noise, 0.0008830560620936012
2024-03-05 05:50:45, Doppler_noise, 3.9052229112712666e-05
2024-03-05 05:50:55, Doppler_noise, -0.0008920334915956118
2024-03-05 05:51:05, Doppler_noise, -3.131111270704423e-06
2024-03-05 05:51:15, Doppler_noise, 0.0003173013599280239
2024-03-05 05:51:25, Doppler_noise, 0.0004276832837604161
2024-03-05 05:51:35, Doppler_noise, -0.0006705974448095731
2024-03-05 05:51:45, Doppler_noise, 0.000232708009889393
2024-03-05 05:57:55, Doppler_noise, 0.0002846884619884804
2024-03-05 05:58:05, Doppler_noise, 0.0004296551032894058
2024-03-05 05:58:15, Doppler_noise, -7.032596192857454e-05
2024-03-05 05:58:45, Doppler_noise, 0.0006058170886262815
2024-03-05 06:04:25, Doppler_noise, 4.9677579909257474e-05
2024-03-05 06:04:35, Doppler_noise, -0.0010155596683034673
2024-03-05 06:04:45, Doppler_noise, -0.001777489211917782
2024-03-05 06:05:25, Doppler_noise, -0.0006488021564337032
2024-03-05 06:05:45, Doppler_noise, -0.0007563493543329969
2024-03-05 06:11:15, Doppler_noise, -0.001955358431928289
2024-03-05 06:11:35, Doppler_noise, -0.0007091802990544238
2024-03-05 06:12:15, Doppler_noise, -0.001326998224953968
2024-03-05 06:12:25, Doppler_noise, -0.0006442453021691108
2024-03-05 06:12:35, Doppler_noise, 0.0007279312056880372
2024-03-05 06:12:45, Doppler_noise, -0.00022732325805918663
2024-03-05 06:18:15, Doppler_noise, -0.0009169439364313803
2024-03-05 06:18:35, Doppler_noise, 2.3103057060325227e-05
2024-03-05 06:18:45, Doppler_noise, -0.0010379313014254876
2024-03-05 06:18:55, Doppler_noise, 0.00040901526369907515
2024-03-05 06:19:05, Doppler_noise, 0.0006556995258506504
2024-03-05 06:19:15, Doppler_noise, -0.000489049675707065
2024-03-05 06:19:25, Doppler_noise, -2.8635130775001016e-05
2024-03-05 06:19:35, Doppler_noise, 5.141337123859557e-05
2024-03-05 06:19:45, Doppler_noise, 1.205359353662061e-06
2024-03-05 06:25:15, Doppler_noise, -0.0012349350811291515
2024-03-05 06:25:35, Doppler_noise, -0.00030816966989277716
2024-03-05 06:25:45, Doppler_noise, -0.0011593910874125868
2024-03-05 06:25:55, Doppler_noise, 0.000943486984624542
2024-03-05 06:26:05, Doppler_noise, 0.0009529815274618159
2024-03-05 06:26:15, Doppler_noise, -0.0012533066336573029
2024-03-05 06:26:25, Doppler_noise, 0.0007448710399557967
2024-03-05 06:26:35, Doppler_noise, -0.0001657055099713034
2024-03-05 06:26:45, Doppler_noise, 7.653246939298697e-06
2024-03-05 06:32:25, Doppler_noise, -0.0007683856905487119
2024-03-05 06:32:35, Doppler_noise, -0.0009288350946690116
2024-03-05 06:32:45, Doppler_noise, 0.0002034049247185976
2024-03-05 06:33:05, Doppler_noise, -0.0002334392257807849
2024-03-05 06:33:15, Doppler_noise, -0.0014003747277229195
2024-03-05 06:33:25, Doppler_noise, -0.0005647850580317026
2024-03-05 06:33:45, Doppler_noise, -0.00036894641448270704
2024-03-05 06:39:35, Doppler_noise, -0.00027940325901454344
2024-03-05 06:39:55, Doppler_noise, 0.00040052446308891376
2024-03-05 06:40:25, Doppler_noise, 0.0008129473760618566
2024-03-05 06:40:45, Doppler_noise, -0.000747101986121379
2024-03-05 06:48:15, Doppler_noise, -7.735976623735041e-05
2024-03-05 06:48:25, Doppler_noise, 0.00014048284288037394
2024-03-05 06:48:35, Doppler_noise, -0.0002063596160724046
2024-03-05 06:48:45, Doppler_noise, 0.00018606275011734397
2024-03-05 06:48:55, Doppler_noise, -0.0003512582048870172
2024-03-05 06:49:15, Doppler_noise, -0.0016000191338889636
2024-03-05 06:49:35, Doppler_noise, -0.0006071291533089607
2024-03-05 06:49:45, Doppler_noise, 9.400408839610463e-05
2024-03-05 06:55:15, Doppler_noise, -0.0003892788042776374
2024-03-05 06:55:25, Doppler_noise, -0.0004579506307891279
2024-03-05 06:55:55, Doppler_noise, -0.0009072335707287493
2024-03-05 06:56:15, Doppler_noise, -0.0010784371783074675
2024-03-05 06:56:25, Doppler_noise, 0.00032865379512259096
2024-03-05 06:56:35, Doppler_noise, -0.00010184732593643275
2024-03-05 06:56:45, Doppler_noise, 7.350687803864275e-05
2024-03-05 07:02:45, Doppler_noise, -0.0009782745700022133
2024-03-05 07:02:55, Doppler_noise, -0.0016115260723381652
2024-03-05 07:03:15, Doppler_noise, -0.00046300243479890923
2024-03-05 07:03:25, Doppler_noise, 0.0007731988964678749
2024-03-05 07:03:35, Doppler_noise, -0.0008983410747305243
2024-03-05 07:03:45, Doppler_noise, 0.00032343217105790245
