UTC Time, Parameter, Value
2024-03-05 05:43:05, SNR, 1812.7609578434358
2024-03-05 05:43:15, SNR, 2035.5629551774698
2024-03-05 05:43:25, SNR, 1661.0263541128463
2024-03-05 05:43:35, SNR, 1917.175769230731
2024-03-05 05:43:45, SNR, 1652.6348566659078
2024-03-05 05:43:55, SNR, 1805.7441517404027
2024-03-05 05:44:05, SNR, 1741.4857652030933
2024-03-05 05:44:15, SNR, 1882.4445234023208
2024-03-05 05:44:25, SNR, 1796.7766883294782
2024-03-05 05:44:35, SNR, 1961.0525571934506
2024-03-05 05:50:15, SNR, 1766.043474826483
2024-03-05 05:50:25, SNR, 1883.9894386343824
2024-03-05 05:50:35, SNR, 2052.630902820549
2024-03-05 05:50:45, SNR, 1744.8294224389226
2024-03-05 05:50:55, SNR, 1893.7131470021948
2024-03-05 05:51:05, SNR, 1761.8911286129412
2024-03-05 05:51:15, SNR, 1952.0956553324586
2024-03-05 05:51:25, SNR, 1723.6804622019135
2024-03-05 05:51:35, SNR, 1803.7607625984128
2024-03-05 05:51:45, SNR, 1732.6917197737848
2024-03-05 05:57:15, SNR, 1578.9762329107766
2024-03-05 05:57:25, SNR, 1948.3841742929994
2024-03-05 05:57:35, SNR, 1457.0383252562146
2024-03-05 05:57:45, SNR, 1841.7033293787786
2024-03-05 05:57:55, SNR, 1834.8433854389698
2024-03-05 05:58:05, SNR, 1694.8461773546153
2024-03-05 05:58:15, SNR, 1809.5294170338404
2024-03-05 05:58:25, SNR, 1747.6174968852104
2024-03-05 05:58:35, SNR, 1838.1258440582953
2024-03-05 05:58:45, SNR, 1356.252516018442
2024-03-05 06:04:15, SNR, 1719.7360216217348
2024-03-05 06:04:45, SNR, 1980.8767865566215
2024-03-05 06:04:55, SNR, 1841.698187088172
2024-03-05 06:05:15, SNR, 1724.984068785781
2024-03-05 06:05:25, SNR, 1671.4923686091406
2024-03-05 06:05:35, SNR, 1883.5455985935998
2024-03-05 06:05:45, SNR, 1561.0023867659324
2024-03-05 06:11:15, SNR, 1710.211924454717
2024-03-05 06:11:25, SNR, 1676.544646629395
2024-03-05 06:11:35, SNR, 1880.072141926335
2024-03-05 06:11:45, SNR, 1968.6694196850829
2024-03-05 06:11:55, SNR, 1984.3811025684327
2024-03-05 06:12:05, SNR, 2070.985652293597
2024-03-05 06:12:15, SNR, 1721.1618030231152
2024-03-05 06:12:25, SNR, 1621.0853421972295
2024-03-05 06:12:35, SNR, 1909.4496368031687
2024-03-05 06:18:15, SNR, 1950.123432478596
2024-03-05 06:18:25, SNR, 1803.8738325874783
2024-03-05 06:18:35, SNR, 1751.879900815519
2024-03-05 06:18:45, SNR, 1839.519670792001
2024-03-05 06:18:55, SNR, 1822.9175478854959
2024-03-05 06:19:05, SNR, 1746.6025261679454
2024-03-05 06:19:25, SNR, 1836.4567238247942
2024-03-05 06:19:35, SNR, 1813.4615392548267
2024-03-05 06:19:45, SNR, 1766.0825403860572
2024-03-05 06:25:25, SNR, 1701.1406611559094
2024-03-05 06:25:35, SNR, 1821.0798913405313
2024-03-05 06:25:55, SNR, 1966.7236773040283
2024-03-05 06:26:15, SNR, 1913.588276894751
